id,unm
NAVES,0
ARAGAO,0
NOVAES,0
DASILVA,0
RUFINO,0
GOIS,0
CORADO,0
PALMEIRA,0
CAMELO,0
CESAR,0
GOVEIA,0
ATAIDES,0
CALDAS,0
ARAIS,0
DAMACENO,0
LOIOLA,0
SACRAMENTO,0
INFORMADO,0
BORBA,0
PAES,0
ALEXANDRIA,0
SERPA,0
DAMASCENA,0
BONIFACIO,0
NEPONUCENO,0
TITO,0
VILELA,0
HONORATO,0
NAZARIO,0
DENKHUDHQ,0
GANDARA,0
SERA,0
CAIXETA,0
SILVESTRE,0
VANDERLEI,0
PORTILHO,0
NEGREIROS,0
CONCEIAAO,0
APARECIDA,0
CELESTINO,0
NOBREGA,0
URCINO,0
GUALBERTO,0
NATIVIDADE,0
FATIMA,0
ANTUNES,0
LEMES,0
MARCAL,0
SERAFIM,0
DIOGENES,0
NEIVA,0
ILVA,0
APINAJE,0
NONATO,0
MASCARENHA,0
CANDIDA,0
PAREIRA,0
SIMAO,0
HORA,0
ABADIA,0
GUERA,0
MODESTO,0
LINS,0
CAMILO,0
ELIAS,0
BASILIO,0
GUARANI,0
